Date,Symbol,Close
7/7/2017,INTU,131.9
7/10/2017,INTU,131.87
7/11/2017,INTU,132.36
7/12/2017,INTU,133.48
7/13/2017,INTU,132.4
7/14/2017,INTU,132.88
7/17/2017,INTU,133.07
7/18/2017,INTU,133.65
7/19/2017,INTU,135.19
7/20/2017,INTU,135.35
7/21/2017,INTU,134.84
7/24/2017,INTU,136.25
7/25/2017,INTU,136.84
7/26/2017,INTU,137.14
7/27/2017,INTU,136.87
7/28/2017,INTU,135.64
7/31/2017,INTU,137.21
8/1/2017,INTU,137.43
8/2/2017,INTU,136.53
8/3/2017,INTU,137.14
8/4/2017,INTU,136.9
8/7/2017,INTU,136.65
8/8/2017,INTU,136.18
8/9/2017,INTU,136.82
8/10/2017,INTU,135.16
8/11/2017,INTU,136.6
8/14/2017,INTU,138.89
8/15/2017,INTU,137.47
8/16/2017,INTU,137.92
8/17/2017,INTU,134.46
8/18/2017,INTU,134.11
8/21/2017,INTU,135.91
8/22/2017,INTU,138.15
8/23/2017,INTU,135.52
8/24/2017,INTU,135.33
8/25/2017,INTU,137.35
8/28/2017,INTU,137.9
8/29/2017,INTU,138.01
8/30/2017,INTU,139.97
8/31/2017,INTU,141.45
9/1/2017,INTU,141.9
9/5/2017,INTU,141.54
9/6/2017,INTU,141.14
9/7/2017,INTU,141
9/8/2017,INTU,141.56
9/11/2017,INTU,142.64
9/12/2017,INTU,142.38
9/13/2017,INTU,142.06
9/14/2017,INTU,142.08
9/15/2017,INTU,142.13
9/18/2017,INTU,143.8
9/19/2017,INTU,145.34
9/20/2017,INTU,144.97
9/21/2017,INTU,144.49
9/22/2017,INTU,146.32
9/25/2017,INTU,144.74
9/26/2017,INTU,144.77
9/27/2017,INTU,144.36
9/28/2017,INTU,142.31
9/29/2017,INTU,142.14
10/2/2017,INTU,141.74
10/3/2017,INTU,141.85
10/4/2017,INTU,142.67
10/5/2017,INTU,142.86
10/6/2017,INTU,144.18
10/9/2017,INTU,143.96
10/10/2017,INTU,144.18
10/11/2017,INTU,143.66
10/12/2017,INTU,145.86
10/13/2017,INTU,145.65
10/16/2017,INTU,144.74
10/17/2017,INTU,145.5
10/18/2017,INTU,145.77
10/19/2017,INTU,146.62
10/20/2017,INTU,147.97
10/23/2017,INTU,147.32
10/24/2017,INTU,148.62
10/25/2017,INTU,149.46
10/26/2017,INTU,151.33
10/27/2017,INTU,153.46
10/30/2017,INTU,151.45
10/31/2017,INTU,151.02
11/1/2017,INTU,151.36
11/2/2017,INTU,152.15
11/3/2017,INTU,153.64
11/6/2017,INTU,152.68
11/7/2017,INTU,152.51
11/8/2017,INTU,152.96
11/9/2017,INTU,152.41
11/10/2017,INTU,153.3
11/13/2017,INTU,154.89
11/14/2017,INTU,155.21
11/15/2017,INTU,153.86
11/16/2017,INTU,155.65
11/17/2017,INTU,156.55
11/20/2017,INTU,157.78
11/21/2017,INTU,151.79
11/22/2017,INTU,151.63
11/24/2017,INTU,153.91
11/27/2017,INTU,154.77
11/28/2017,INTU,155.79
11/29/2017,INTU,154.22
11/30/2017,INTU,157.22
12/1/2017,INTU,156.44
12/4/2017,INTU,154.54
12/5/2017,INTU,154.47
12/6/2017,INTU,156.19
12/7/2017,INTU,155.56
12/8/2017,INTU,155.23
12/11/2017,INTU,155.68
12/12/2017,INTU,155.85
12/13/2017,INTU,156.48
12/14/2017,INTU,156.19
12/15/2017,INTU,159.65
12/18/2017,INTU,161.13
12/19/2017,INTU,159.88
12/20/2017,INTU,159.35
12/21/2017,INTU,158.62
12/22/2017,INTU,158.5
12/26/2017,INTU,158.93
12/27/2017,INTU,158.73
12/28/2017,INTU,158.58
12/29/2017,INTU,157.78
1/2/2018,INTU,158.72
1/3/2018,INTU,159.16
1/4/2018,INTU,162.01
1/5/2018,INTU,164.11
1/8/2018,INTU,164.21
1/9/2018,INTU,164.85
1/10/2018,INTU,163.51
1/11/2018,INTU,163
1/12/2018,INTU,164.51
1/16/2018,INTU,162.29
1/17/2018,INTU,164.29
1/18/2018,INTU,164.4
1/19/2018,INTU,167.74
1/22/2018,INTU,168.67
1/23/2018,INTU,168.46
1/24/2018,INTU,167.55
1/25/2018,INTU,167.82
1/26/2018,INTU,170.44
1/29/2018,INTU,169.21
1/30/2018,INTU,168.5
1/31/2018,INTU,167.9
2/1/2018,INTU,165.65
2/2/2018,INTU,163.42
2/5/2018,INTU,157.65
2/6/2018,INTU,160.87
2/7/2018,INTU,161.29
2/8/2018,INTU,152.75
2/9/2018,INTU,157.06
2/12/2018,INTU,159.38
2/13/2018,INTU,159.36
2/14/2018,INTU,163.9
2/15/2018,INTU,169.31
2/16/2018,INTU,171.69
2/20/2018,INTU,173.57
2/21/2018,INTU,173.32
2/22/2018,INTU,172.1
2/23/2018,INTU,171.78
2/26/2018,INTU,172.67
2/27/2018,INTU,170.35
2/28/2018,INTU,166.86
3/1/2018,INTU,164.34
3/2/2018,INTU,168.84
3/5/2018,INTU,170.18
3/6/2018,INTU,169.46
3/7/2018,INTU,170.66
3/8/2018,INTU,171.47
3/9/2018,INTU,177.17
3/12/2018,INTU,177.33
3/13/2018,INTU,177.68
3/14/2018,INTU,177.29
3/15/2018,INTU,177.93
3/16/2018,INTU,178.59
3/19/2018,INTU,175.74
3/20/2018,INTU,178.15
3/21/2018,INTU,176.66
3/22/2018,INTU,174.83
3/23/2018,INTU,169.87
3/26/2018,INTU,174.53
3/27/2018,INTU,173.25
3/28/2018,INTU,170.93
3/29/2018,INTU,173.35
4/2/2018,INTU,169.88
4/3/2018,INTU,170.47
4/4/2018,INTU,173.05
4/5/2018,INTU,171.83
4/6/2018,INTU,167.68
4/9/2018,INTU,169.39
4/10/2018,INTU,171.31
4/11/2018,INTU,171.59
4/12/2018,INTU,173.63
4/13/2018,INTU,171.99
4/16/2018,INTU,175.3
4/17/2018,INTU,181
4/18/2018,INTU,181.19
4/19/2018,INTU,179.41
4/20/2018,INTU,178.13
4/23/2018,INTU,180.3
4/24/2018,INTU,178.57
4/25/2018,INTU,176.37
4/26/2018,INTU,185.18
4/27/2018,INTU,186.59
4/30/2018,INTU,184.79
5/1/2018,INTU,187.24
5/2/2018,INTU,185.93
5/3/2018,INTU,186.38
5/4/2018,INTU,189.45
5/7/2018,INTU,189.56
5/8/2018,INTU,190.17
5/9/2018,INTU,192.67
5/10/2018,INTU,194.3
5/11/2018,INTU,194.2
5/14/2018,INTU,192.59
5/15/2018,INTU,189.77
5/16/2018,INTU,190.41
5/17/2018,INTU,189.78
5/18/2018,INTU,190.54
5/21/2018,INTU,191.69
5/22/2018,INTU,190.54
5/23/2018,INTU,196.23
5/24/2018,INTU,197.79
5/25/2018,INTU,197.09
5/29/2018,INTU,196.7
5/30/2018,INTU,201.1
5/31/2018,INTU,201.6
6/1/2018,INTU,204.08
6/4/2018,INTU,207
6/5/2018,INTU,208.23
